iter	Passed	Remaining
201	1320	5216
202	1326	5207
203	1332	5199
204	1338	5192
205	1345	5184
206	1350	5174
207	1357	5167
208	1363	5160
209	1369	5152
210	1375	5144
211	1381	5136
212	1387	5127
213	1394	5122
214	1401	5118
215	1407	5108
216	1414	5102
217	1419	5092
218	1425	5084
219	1431	5075
220	1438	5072
221	1445	5065
222	1451	5057
223	1457	5049
224	1463	5040
225	1470	5035
226	1476	5029
227	1483	5021
228	1488	5011
229	1494	5002
230	1500	4993
231	1506	4985
232	1521	5007
233	1527	5000
234	1534	4993
235	1540	4988
236	1546	4979
237	1553	4972
238	1559	4966
239	1565	4958
240	1572	4950
241	1577	4941
242	1584	4934
243	1589	4924
244	1595	4917
245	1601	4908
246	1608	4902
247	1615	4899
248	1621	4891
249	1628	4884
250	1634	4878
251	1640	4870
252	1647	4863
253	1654	4858
254	1659	4849
255	1666	4843
256	1672	4834
257	1677	4824
258	1685	4821
259	1691	4813
260	1697	4805
261	1702	4796
262	1708	4787
263	1713	4778
264	1720	4771
265	1726	4764
266	1732	4757
267	1738	4747
268	1745	4742
269	1751	4735
270	1757	4726
271	1763	4719
272	1769	4711
273	1774	4701
274	1780	4693
275	1786	4687
276	1792	4678
277	1798	4670
278	1803	4661
279	1809	4653
280	1815	4644
281	1821	4638
282	1827	4629
283	1832	4620
284	1838	4612
285	1844	4604
286	1849	4595
287	1855	4587
288	1862	4583
289	1869	4576
290	1875	4569
291	1881	4562
292	1887	4554
293	1894	4548
294	1899	4540
295	1906	4533
296	1912	4527
297	1918	4518
298	1924	4512
299	1931	4507
300	1938	4501
301	1944	4494
302	1950	4485
303	1956	4478
304	1961	4470
305	1968	4464
306	1974	4457
307	1981	4451
308	1988	4445
309	1995	4441
310	2001	4434
311	2007	4427
312	2013	4420
313	2019	4412
314	2026	4407
315	2032	4400
316	2038	4392
317	2044	4385
318	2052	4380
319	2058	4374
320	2064	4366
321	2070	4360
322	2076	4352
323	2082	4344
324	2088	4336
325	2093	4329
326	2099	4321
327	2105	4314
328	2112	4308
329	2119	4302
330	2124	4294
331	2130	4286
332	2136	4280
333	2142	4272
334	2148	4265
335	2154	4258
336	2160	4250
337	2166	4243
338	2173	4237
339	2179	4230
340	2186	4224
341	2192	4217
342	2198	4210
343	2203	4202
344	2209	4195
345	2216	4188
346	2221	4180
347	2228	4175
348	2234	4167
349	2240	4161
350	2247	4155
351	2253	4148
352	2260	4143
353	2266	4135
354	2272	4128
355	2277	4120
356	2283	4111
357	2288	4104
358	2293	4095
359	2298	4087
360	2305	4080
361	2310	4071
362	2315	4063
363	2322	4057
364	2330	4053
365	2335	4046
366	2342	4040
367	2348	4033
368	2355	4027
369	2361	4020
370	2367	4014
371	2373	4006
372	2378	3998
373	2384	3991
374	2390	3984
375	2397	3978
376	2403	3971
377	2409	3965
378	2416	3958
379	2422	3952
380	2428	3945
381	2435	3939
382	2440	3931
383	2446	3924
384	2452	3917
385	2458	3911
386	2463	3902
387	2469	3895
388	2476	3890
389	2483	3884
390	2489	3877
391	2495	3871
392	2502	3865
393	2508	3858
394	2514	3850
395	2520	3843
396	2526	3837
397	2532	3830
398	2538	3823
399	2544	3817
400	2551	3810
401	2557	3804
402	2563	3798
403	2570	3791
404	2576	3784
405	2581	3777
406	2587	3770
407	2593	3763
408	2599	3756
409	2605	3749
410	2611	3742
411	2617	3735
412	2623	3728
413	2628	3720
414	2634	3713
415	2640	3707
416	2647	3701
